DOIs,title,abstract,Table_topic,Material,Tensile_name,Tensile_value,Tensile_unit,Yield_name,Yield_value,Yield_unit,Elongation_name,Elongation_value,Elongation_unit,H,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Y,Zr,Nb,Mo,Sn,Sb,La,Ce,Ta,W,Pb,Bi,Text
10.1007/s12540-018-0173-9,"Effect of Strain Aging on Tensile Behavior and Properties of API X60, X70, and X80 Pipeline Steels","The effect of strain aging on tensile behavior and properties of API X60, X70, and X80 pipeline steels was investigated in this study. The API X60, X70, and X80 pipeline steels were fabricated by varying alloying elements and thermomechanical processing conditions. Although all the steels exhibited complex microstructure consisting of polygonal ferrite (PF), acicular ferrite, granular bainite (GB), bainitic ferrite (BF), and secondary phases, they had different fractions of microstructures depending on the alloying elements and thermomechanical processing conditions. The tensile test results revealed that yielding behavior steadily changed from continuous-type to discontinuous-type as aging temperature increases after 1% pre-strain. After pre-strain and thermal aging treatment in all the steels, the yield and tensile strengths, and yield ratio were increased, while the uniform elongation and work hardening exponent were decreased. In the case of the X80 steel, particularly, the decrease in uniform elongation was relatively small due to many mobile dislocations in PF, and the increase in yield ratio was the lowest because a large amount of harder microstructures such as GB, BF, and coarse secondary phases effectively enhanced work hardening.","Table 4 Tensile properties before and after 1% pre-strain and thermal aging treatment at the temperature of 200 °C and 250 °C of the API X60, X70, and X80 pipeline steels",X60,Tensile strength (MPa),558,MPa,Yield strength (MPa),449,MPa,Total elongation (%),31.1,%,0,0,0.06,0,0,0,0,0,0,0.25,0.0075,0.0075,0,0,0.06,0.06,0.15,1.5,0,0,0.15,0,0,0,0,0,0.06,0.15,0,0,0,0,0,0,0,0,"After reheating treatment at temperatures above 1100 °C, the X60 steel was rolled in austenite recrystallization region, while the X70 and X80 steels were rolled in austenite non-recrystallization region where fine elongated austenite grains can be obtained by rolling with a high rolling reduction ratio above 70%. The hot-rolled steel plates were rapidly cooled from start cooling temperatures above Ar3 to finish cooling temperatures between 500 and 600 °C at various cooling rates. Steel specimens obtained from the 1/2 thickness location of the rolled steel plates were mechanically polished and etched by a 3% Nital solution. Sub-size round tensile specimens with a gage diameter of 6.3 mm and a gage length of 25.4 mm were obtained from the 1/2 thickness of rolled plates in the longitudinal direction."
10.1007/s12540-018-0173-9,"Effect of Strain Aging on Tensile Behavior and Properties of API X60, X70, and X80 Pipeline Steels","The effect of strain aging on tensile behavior and properties of API X60, X70, and X80 pipeline steels was investigated in this study. The API X60, X70, and X80 pipeline steels were fabricated by varying alloying elements and thermomechanical processing conditions. Although all the steels exhibited complex microstructure consisting of polygonal ferrite (PF), acicular ferrite, granular bainite (GB), bainitic ferrite (BF), and secondary phases, they had different fractions of microstructures depending on the alloying elements and thermomechanical processing conditions. The tensile test results revealed that yielding behavior steadily changed from continuous-type to discontinuous-type as aging temperature increases after 1% pre-strain. After pre-strain and thermal aging treatment in all the steels, the yield and tensile strengths, and yield ratio were increased, while the uniform elongation and work hardening exponent were decreased. In the case of the X80 steel, particularly, the decrease in uniform elongation was relatively small due to many mobile dislocations in PF, and the increase in yield ratio was the lowest because a large amount of harder microstructures such as GB, BF, and coarse secondary phases effectively enhanced work hardening.","Table 4 Tensile properties before and after 1% pre-strain and thermal aging treatment at the temperature of 200 °C and 250 °C of the API X60, X70, and X80 pipeline steels",X60,Tensile strength (MPa),583,MPa,Yield strength (MPa),524,MPa,Total elongation (%),28.2,%,0,0,0.06,0,0,0,0,0,0,0.25,0.0075,0.0075,0,0,0.06,0.06,0.15,1.5,0,0,0.15,0,0,0,0,0,0.06,0.15,0,0,0,0,0,0,0,0,"After reheating treatment at temperatures above 1100 °C, the X60 steel was rolled in austenite recrystallization region, while the X70 and X80 steels were rolled in austenite non-recrystallization region where fine elongated austenite grains can be obtained by rolling with a high rolling reduction ratio above 70%. The hot-rolled steel plates were rapidly cooled from start cooling temperatures above Ar3 to finish cooling temperatures between 500 and 600 °C at various cooling rates. Steel specimens obtained from the 1/2 thickness location of the rolled steel plates were mechanically polished and etched by a 3% Nital solution. Sub-size round tensile specimens with a gage diameter of 6.3 mm and a gage length of 25.4 mm were obtained from the 1/2 thickness of rolled plates in the longitudinal direction. To simulate pipe forming and coating processes, some specimens were additionally pre-strained to 1% and heat-treated at 200 °C for 5 min."
10.1007/s12540-018-0173-9,"Effect of Strain Aging on Tensile Behavior and Properties of API X60, X70, and X80 Pipeline Steels","The effect of strain aging on tensile behavior and properties of API X60, X70, and X80 pipeline steels was investigated in this study. The API X60, X70, and X80 pipeline steels were fabricated by varying alloying elements and thermomechanical processing conditions. Although all the steels exhibited complex microstructure consisting of polygonal ferrite (PF), acicular ferrite, granular bainite (GB), bainitic ferrite (BF), and secondary phases, they had different fractions of microstructures depending on the alloying elements and thermomechanical processing conditions. The tensile test results revealed that yielding behavior steadily changed from continuous-type to discontinuous-type as aging temperature increases after 1% pre-strain. After pre-strain and thermal aging treatment in all the steels, the yield and tensile strengths, and yield ratio were increased, while the uniform elongation and work hardening exponent were decreased. In the case of the X80 steel, particularly, the decrease in uniform elongation was relatively small due to many mobile dislocations in PF, and the increase in yield ratio was the lowest because a large amount of harder microstructures such as GB, BF, and coarse secondary phases effectively enhanced work hardening.","Table 4 Tensile properties before and after 1% pre-strain and thermal aging treatment at the temperature of 200 °C and 250 °C of the API X60, X70, and X80 pipeline steels",X60,Tensile strength (MPa),571,MPa,Yield strength (MPa),527,MPa,Total elongation (%),29.6,%,0,0,0.06,0,0,0,0,0,0,0.25,0.0075,0.0075,0,0,0.06,0.06,0.15,1.5,0,0,0.15,0,0,0,0,0,0.06,0.15,0,0,0,0,0,0,0,0,"After reheating treatment at temperatures above 1100 °C, the X60 steel was rolled in austenite recrystallization region, while the X70 and X80 steels were rolled in austenite non-recrystallization region where fine elongated austenite grains can be obtained by rolling with a high rolling reduction ratio above 70%. The hot-rolled steel plates were rapidly cooled from start cooling temperatures above Ar3 to finish cooling temperatures between 500 and 600 °C at various cooling rates. Steel specimens obtained from the 1/2 thickness location of the rolled steel plates were mechanically polished and etched by a 3% Nital solution. Sub-size round tensile specimens with a gage diameter of 6.3 mm and a gage length of 25.4 mm were obtained from the 1/2 thickness of rolled plates in the longitudinal direction. To simulate pipe forming and coating processes, some specimens were additionally pre-strained to 1% and heat-treated at 250 °C for 5 min."
10.1007/s12540-018-0173-9,"Effect of Strain Aging on Tensile Behavior and Properties of API X60, X70, and X80 Pipeline Steels","The effect of strain aging on tensile behavior and properties of API X60, X70, and X80 pipeline steels was investigated in this study. The API X60, X70, and X80 pipeline steels were fabricated by varying alloying elements and thermomechanical processing conditions. Although all the steels exhibited complex microstructure consisting of polygonal ferrite (PF), acicular ferrite, granular bainite (GB), bainitic ferrite (BF), and secondary phases, they had different fractions of microstructures depending on the alloying elements and thermomechanical processing conditions. The tensile test results revealed that yielding behavior steadily changed from continuous-type to discontinuous-type as aging temperature increases after 1% pre-strain. After pre-strain and thermal aging treatment in all the steels, the yield and tensile strengths, and yield ratio were increased, while the uniform elongation and work hardening exponent were decreased. In the case of the X80 steel, particularly, the decrease in uniform elongation was relatively small due to many mobile dislocations in PF, and the increase in yield ratio was the lowest because a large amount of harder microstructures such as GB, BF, and coarse secondary phases effectively enhanced work hardening.","Table 4 Tensile properties before and after 1% pre-strain and thermal aging treatment at the temperature of 200 °C and 250 °C of the API X60, X70, and X80 pipeline steels",X70,Tensile strength (MPa),608,MPa,Yield strength (MPa),499,MPa,Total elongation (%),27.3,%,0,0,0.07,0,0,0,0,0,0,0.25,0.0075,0.0075,0,0,0.06,0.06,0.15,1.7,0,0,0.15,0,0,0,0,0,0.06,0.15,0,0,0,0,0,0,0,0,"After reheating treatment at temperatures above 1100 °C, the X60 steel was rolled in austenite recrystallization region, while the X70 and X80 steels were rolled in austenite non-recrystallization region where fine elongated austenite grains can be obtained by rolling with a high rolling reduction ratio above 70%. The hot-rolled steel plates were rapidly cooled from start cooling temperatures above Ar3 to finish cooling temperatures between 500 and 600 °C at various cooling rates. Steel specimens obtained from the 1/2 thickness location of the rolled steel plates were mechanically polished and etched by a 3% Nital solution. Sub-size round tensile specimens with a gage diameter of 6.3 mm and a gage length of 25.4 mm were obtained from the 1/2 thickness of rolled plates in the longitudinal direction."
10.1007/s12540-018-0173-9,"Effect of Strain Aging on Tensile Behavior and Properties of API X60, X70, and X80 Pipeline Steels","The effect of strain aging on tensile behavior and properties of API X60, X70, and X80 pipeline steels was investigated in this study. The API X60, X70, and X80 pipeline steels were fabricated by varying alloying elements and thermomechanical processing conditions. Although all the steels exhibited complex microstructure consisting of polygonal ferrite (PF), acicular ferrite, granular bainite (GB), bainitic ferrite (BF), and secondary phases, they had different fractions of microstructures depending on the alloying elements and thermomechanical processing conditions. The tensile test results revealed that yielding behavior steadily changed from continuous-type to discontinuous-type as aging temperature increases after 1% pre-strain. After pre-strain and thermal aging treatment in all the steels, the yield and tensile strengths, and yield ratio were increased, while the uniform elongation and work hardening exponent were decreased. In the case of the X80 steel, particularly, the decrease in uniform elongation was relatively small due to many mobile dislocations in PF, and the increase in yield ratio was the lowest because a large amount of harder microstructures such as GB, BF, and coarse secondary phases effectively enhanced work hardening.","Table 4 Tensile properties before and after 1% pre-strain and thermal aging treatment at the temperature of 200 °C and 250 °C of the API X60, X70, and X80 pipeline steels",X70,Tensile strength (MPa),621,MPa,Yield strength (MPa),567,MPa,Total elongation (%),26.1,%,0,0,0.07,0,0,0,0,0,0,0.25,0.0075,0.0075,0,0,0.06,0.06,0.15,1.7,0,0,0.15,0,0,0,0,0,0.06,0.15,0,0,0,0,0,0,0,0,"After reheating treatment at temperatures above 1100 °C, the X60 steel was rolled in austenite recrystallization region, while the X70 and X80 steels were rolled in austenite non-recrystallization region where fine elongated austenite grains can be obtained by rolling with a high rolling reduction ratio above 70%. The hot-rolled steel plates were rapidly cooled from start cooling temperatures above Ar3 to finish cooling temperatures between 500 and 600 °C at various cooling rates. Steel specimens obtained from the 1/2 thickness location of the rolled steel plates were mechanically polished and etched by a 3% Nital solution. Sub-size round tensile specimens with a gage diameter of 6.3 mm and a gage length of 25.4 mm were obtained from the 1/2 thickness of rolled plates in the longitudinal direction. To simulate pipe forming and coating processes, some specimens were additionally pre-strained to 1% and heat-treated at 200 °C for 5 min."
10.1007/s12540-018-0173-9,"Effect of Strain Aging on Tensile Behavior and Properties of API X60, X70, and X80 Pipeline Steels","The effect of strain aging on tensile behavior and properties of API X60, X70, and X80 pipeline steels was investigated in this study. The API X60, X70, and X80 pipeline steels were fabricated by varying alloying elements and thermomechanical processing conditions. Although all the steels exhibited complex microstructure consisting of polygonal ferrite (PF), acicular ferrite, granular bainite (GB), bainitic ferrite (BF), and secondary phases, they had different fractions of microstructures depending on the alloying elements and thermomechanical processing conditions. The tensile test results revealed that yielding behavior steadily changed from continuous-type to discontinuous-type as aging temperature increases after 1% pre-strain. After pre-strain and thermal aging treatment in all the steels, the yield and tensile strengths, and yield ratio were increased, while the uniform elongation and work hardening exponent were decreased. In the case of the X80 steel, particularly, the decrease in uniform elongation was relatively small due to many mobile dislocations in PF, and the increase in yield ratio was the lowest because a large amount of harder microstructures such as GB, BF, and coarse secondary phases effectively enhanced work hardening.","Table 4 Tensile properties before and after 1% pre-strain and thermal aging treatment at the temperature of 200 °C and 250 °C of the API X60, X70, and X80 pipeline steels",X70,Tensile strength (MPa),631,MPa,Yield strength (MPa),608,MPa,Total elongation (%),24.9,%,0,0,0.07,0,0,0,0,0,0,0.25,0.0075,0.0075,0,0,0.06,0.06,0.15,1.7,0,0,0.15,0,0,0,0,0,0.06,0.15,0,0,0,0,0,0,0,0,"After reheating treatment at temperatures above 1100 °C, the X60 steel was rolled in austenite recrystallization region, while the X70 and X80 steels were rolled in austenite non-recrystallization region where fine elongated austenite grains can be obtained by rolling with a high rolling reduction ratio above 70%. The hot-rolled steel plates were rapidly cooled from start cooling temperatures above Ar3 to finish cooling temperatures between 500 and 600 °C at various cooling rates. Steel specimens obtained from the 1/2 thickness location of the rolled steel plates were mechanically polished and etched by a 3% Nital solution. Sub-size round tensile specimens with a gage diameter of 6.3 mm and a gage length of 25.4 mm were obtained from the 1/2 thickness of rolled plates in the longitudinal direction. To simulate pipe forming and coating processes, some specimens were additionally pre-strained to 1% and heat-treated at 250 °C for 5 min."
10.1007/s12540-018-0173-9,"Effect of Strain Aging on Tensile Behavior and Properties of API X60, X70, and X80 Pipeline Steels","The effect of strain aging on tensile behavior and properties of API X60, X70, and X80 pipeline steels was investigated in this study. The API X60, X70, and X80 pipeline steels were fabricated by varying alloying elements and thermomechanical processing conditions. Although all the steels exhibited complex microstructure consisting of polygonal ferrite (PF), acicular ferrite, granular bainite (GB), bainitic ferrite (BF), and secondary phases, they had different fractions of microstructures depending on the alloying elements and thermomechanical processing conditions. The tensile test results revealed that yielding behavior steadily changed from continuous-type to discontinuous-type as aging temperature increases after 1% pre-strain. After pre-strain and thermal aging treatment in all the steels, the yield and tensile strengths, and yield ratio were increased, while the uniform elongation and work hardening exponent were decreased. In the case of the X80 steel, particularly, the decrease in uniform elongation was relatively small due to many mobile dislocations in PF, and the increase in yield ratio was the lowest because a large amount of harder microstructures such as GB, BF, and coarse secondary phases effectively enhanced work hardening.","Table 4 Tensile properties before and after 1% pre-strain and thermal aging treatment at the temperature of 200 °C and 250 °C of the API X60, X70, and X80 pipeline steels",X80,Tensile strength (MPa),692,MPa,Yield strength (MPa),578,MPa,Total elongation (%),27,%,0,0,0.08,0,0,0,0,0,0,0.24,0.0075,0.0075,0,0,0.06,0.06,0.15,1.8,0,0,0.15,0,0,0,0,0,0.06,0.15,0,0,0,0,0,0,0,0,"After reheating treatment at temperatures above 1100 °C, the X60 steel was rolled in austenite recrystallization region, while the X70 and X80 steels were rolled in austenite non-recrystallization region where fine elongated austenite grains can be obtained by rolling with a high rolling reduction ratio above 70%. The hot-rolled steel plates were rapidly cooled from start cooling temperatures above Ar3 to finish cooling temperatures between 500 and 600 °C at various cooling rates. Steel specimens obtained from the 1/2 thickness location of the rolled steel plates were mechanically polished and etched by a 3% Nital solution. Sub-size round tensile specimens with a gage diameter of 6.3 mm and a gage length of 25.4 mm were obtained from the 1/2 thickness of rolled plates in the longitudinal direction."
10.1007/s12540-018-0173-9,"Effect of Strain Aging on Tensile Behavior and Properties of API X60, X70, and X80 Pipeline Steels","The effect of strain aging on tensile behavior and properties of API X60, X70, and X80 pipeline steels was investigated in this study. The API X60, X70, and X80 pipeline steels were fabricated by varying alloying elements and thermomechanical processing conditions. Although all the steels exhibited complex microstructure consisting of polygonal ferrite (PF), acicular ferrite, granular bainite (GB), bainitic ferrite (BF), and secondary phases, they had different fractions of microstructures depending on the alloying elements and thermomechanical processing conditions. The tensile test results revealed that yielding behavior steadily changed from continuous-type to discontinuous-type as aging temperature increases after 1% pre-strain. After pre-strain and thermal aging treatment in all the steels, the yield and tensile strengths, and yield ratio were increased, while the uniform elongation and work hardening exponent were decreased. In the case of the X80 steel, particularly, the decrease in uniform elongation was relatively small due to many mobile dislocations in PF, and the increase in yield ratio was the lowest because a large amount of harder microstructures such as GB, BF, and coarse secondary phases effectively enhanced work hardening.","Table 4 Tensile properties before and after 1% pre-strain and thermal aging treatment at the temperature of 200 °C and 250 °C of the API X60, X70, and X80 pipeline steels",X80,Tensile strength (MPa),700,MPa,Yield strength (MPa),623,MPa,Total elongation (%),26.3,%,0,0,0.08,0,0,0,0,0,0,0.24,0.0075,0.0075,0,0,0.06,0.06,0.15,1.8,0,0,0.15,0,0,0,0,0,0.06,0.15,0,0,0,0,0,0,0,0,"After reheating treatment at temperatures above 1100 °C, the X60 steel was rolled in austenite recrystallization region, while the X70 and X80 steels were rolled in austenite non-recrystallization region where fine elongated austenite grains can be obtained by rolling with a high rolling reduction ratio above 70%. The hot-rolled steel plates were rapidly cooled from start cooling temperatures above Ar3 to finish cooling temperatures between 500 and 600 °C at various cooling rates. Steel specimens obtained from the 1/2 thickness location of the rolled steel plates were mechanically polished and etched by a 3% Nital solution. Sub-size round tensile specimens with a gage diameter of 6.3 mm and a gage length of 25.4 mm were obtained from the 1/2 thickness of rolled plates in the longitudinal direction. To simulate pipe forming and coating processes, some specimens were additionally pre-strained to 1% and heat-treated at 200 °C for 5 min."
10.1007/s12540-018-0173-9,"Effect of Strain Aging on Tensile Behavior and Properties of API X60, X70, and X80 Pipeline Steels","The effect of strain aging on tensile behavior and properties of API X60, X70, and X80 pipeline steels was investigated in this study. The API X60, X70, and X80 pipeline steels were fabricated by varying alloying elements and thermomechanical processing conditions. Although all the steels exhibited complex microstructure consisting of polygonal ferrite (PF), acicular ferrite, granular bainite (GB), bainitic ferrite (BF), and secondary phases, they had different fractions of microstructures depending on the alloying elements and thermomechanical processing conditions. The tensile test results revealed that yielding behavior steadily changed from continuous-type to discontinuous-type as aging temperature increases after 1% pre-strain. After pre-strain and thermal aging treatment in all the steels, the yield and tensile strengths, and yield ratio were increased, while the uniform elongation and work hardening exponent were decreased. In the case of the X80 steel, particularly, the decrease in uniform elongation was relatively small due to many mobile dislocations in PF, and the increase in yield ratio was the lowest because a large amount of harder microstructures such as GB, BF, and coarse secondary phases effectively enhanced work hardening.","Table 4 Tensile properties before and after 1% pre-strain and thermal aging treatment at the temperature of 200 °C and 250 °C of the API X60, X70, and X80 pipeline steels",X80,Tensile strength (MPa),703,MPa,Yield strength (MPa),667,MPa,Total elongation (%),26.2,%,0,0,0.08,0,0,0,0,0,0,0.24,0.0075,0.0075,0,0,0.06,0.06,0.15,1.8,0,0,0.15,0,0,0,0,0,0.06,0.15,0,0,0,0,0,0,0,0,"After reheating treatment at temperatures above 1100 °C, the X60 steel was rolled in austenite recrystallization region, while the X70 and X80 steels were rolled in austenite non-recrystallization region where fine elongated austenite grains can be obtained by rolling with a high rolling reduction ratio above 70%. The hot-rolled steel plates were rapidly cooled from start cooling temperatures above Ar3 to finish cooling temperatures between 500 and 600 °C at various cooling rates. Steel specimens obtained from the 1/2 thickness location of the rolled steel plates were mechanically polished and etched by a 3% Nital solution. Sub-size round tensile specimens with a gage diameter of 6.3 mm and a gage length of 25.4 mm were obtained from the 1/2 thickness of rolled plates in the longitudinal direction. To simulate pipe forming and coating processes, some specimens were additionally pre-strained to 1% and heat-treated at 250 °C for 5 min."
10.1016/j.msea.2020.140636,Improved strength-ductility-toughness balance of a precipitation-strengthened low-carbon medium-Mn steel by adopting intercritical annealing-tempering process,"The present study on low-carbon medium-Mn steel demonstrates that the newly proposed intercritical annealing-tempering process led to good combination of strength, ductility and impact toughness, by simultaneously optimizing austenite reverted transformation and Cu precipitation. Intercritical annealing at high temperature accelerated the dissolution of cementite particles, promoted the formation of reverted austenite, and then increased the total elongation and impact energy. The additional tempering at 500 degrees C facilitated intensive precipitation of Cu-rich precipitates in secondary martensite. The precipitates were fine, uniform in size and high in density, which provided a significant strengthening effect. Strengthening by nano-scale Cu-rich precipitates compensated softening associated with high temperature annealing, and increased the yield strength of tempered medium-Mn steel by 75 MPa. In addition to facilitating Cu precipitation, the introduction of secondary martensite also promoted nucleation of reverted austenite during tempering with sufficient C and Mn concentration that stabilized austenite and further improved ductility. Excellent mechanical properties, 960 MPa yield strength, 1010 MPa tensile strength, 29.2% total elongation and 150 J impact energy at room temperature were obtained in the precipitation-strengthened low-carbon medium-Mn steel, on intercritical annealing at 645 degrees C, followed by tempering at 500 degrees C for 2 h.","Mechanical properties of samples DQ, DQT, DQA and DQAT.",DQ,Tensile strength/MPa,1130,MPa,Yield strength/MPa,1030,MPa,Total elongation/%,14.3,%,0,0.0025,0.06,0.0015,0,0,0,0,0.56,0.36,0,0,0,0,0,0.002,0,5.1,0,0,2.1,1.6,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,"The 100 kg steel ingot was prepared using a high-frequency vacuum induction furnace. The ingot was then forged into billets of dimensions ~100 mm × 100 mm. Schematic diagram of rolling and heat treatment process of the experimental steel is shown in Fig. 1 . The billets were hot-rolled to 12 mm steel plates via seven passes, after homogenization at 1200 °C for 2 h. The finish rolling temperature was greater than 1030 °C. Subsequently, the plates were directly quenched to room temperature (RT) and designated as sample DQ (directly quenched)."
10.1016/j.msea.2020.140636,Improved strength-ductility-toughness balance of a precipitation-strengthened low-carbon medium-Mn steel by adopting intercritical annealing-tempering process,"The present study on low-carbon medium-Mn steel demonstrates that the newly proposed intercritical annealing-tempering process led to good combination of strength, ductility and impact toughness, by simultaneously optimizing austenite reverted transformation and Cu precipitation. Intercritical annealing at high temperature accelerated the dissolution of cementite particles, promoted the formation of reverted austenite, and then increased the total elongation and impact energy. The additional tempering at 500 degrees C facilitated intensive precipitation of Cu-rich precipitates in secondary martensite. The precipitates were fine, uniform in size and high in density, which provided a significant strengthening effect. Strengthening by nano-scale Cu-rich precipitates compensated softening associated with high temperature annealing, and increased the yield strength of tempered medium-Mn steel by 75 MPa. In addition to facilitating Cu precipitation, the introduction of secondary martensite also promoted nucleation of reverted austenite during tempering with sufficient C and Mn concentration that stabilized austenite and further improved ductility. Excellent mechanical properties, 960 MPa yield strength, 1010 MPa tensile strength, 29.2% total elongation and 150 J impact energy at room temperature were obtained in the precipitation-strengthened low-carbon medium-Mn steel, on intercritical annealing at 645 degrees C, followed by tempering at 500 degrees C for 2 h.","Mechanical properties of samples DQ, DQT, DQA and DQAT.",DQT,Tensile strength/MPa,1180,MPa,Yield strength/MPa,1160,MPa,Total elongation/%,15.3,%,0,0.0025,0.06,0.0015,0,0,0,0,0.56,0.36,0,0,0,0,0,0.002,0,5.1,0,0,2.1,1.6,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,"The 100 kg steel ingot was prepared using a high-frequency vacuum induction furnace. The ingot was then forged into billets of dimensions ~100 mm × 100 mm. Schematic diagram of rolling and heat treatment process of the experimental steel is shown in Fig. 1 . The billets were hot-rolled to 12 mm steel plates via seven passes, after homogenization at 1200 °C for 2 h. The finish rolling temperature was greater than 1030 °C. Subsequently, the plates were directly quenched to room temperature (RT) and designated as sample DQ (directly quenched).The tempering temperature and time was 500 °C and 2 h, respectively. "
10.1016/j.msea.2020.140636,Improved strength-ductility-toughness balance of a precipitation-strengthened low-carbon medium-Mn steel by adopting intercritical annealing-tempering process,"The present study on low-carbon medium-Mn steel demonstrates that the newly proposed intercritical annealing-tempering process led to good combination of strength, ductility and impact toughness, by simultaneously optimizing austenite reverted transformation and Cu precipitation. Intercritical annealing at high temperature accelerated the dissolution of cementite particles, promoted the formation of reverted austenite, and then increased the total elongation and impact energy. The additional tempering at 500 degrees C facilitated intensive precipitation of Cu-rich precipitates in secondary martensite. The precipitates were fine, uniform in size and high in density, which provided a significant strengthening effect. Strengthening by nano-scale Cu-rich precipitates compensated softening associated with high temperature annealing, and increased the yield strength of tempered medium-Mn steel by 75 MPa. In addition to facilitating Cu precipitation, the introduction of secondary martensite also promoted nucleation of reverted austenite during tempering with sufficient C and Mn concentration that stabilized austenite and further improved ductility. Excellent mechanical properties, 960 MPa yield strength, 1010 MPa tensile strength, 29.2% total elongation and 150 J impact energy at room temperature were obtained in the precipitation-strengthened low-carbon medium-Mn steel, on intercritical annealing at 645 degrees C, followed by tempering at 500 degrees C for 2 h.","Mechanical properties of samples DQ, DQT, DQA and DQAT.",DQA600,Tensile strength/MPa,1040,MPa,Yield strength/MPa,1015,MPa,Total elongation/%,23,%,0,0.0025,0.06,0.0015,0,0,0,0,0.56,0.36,0,0,0,0,0,0.002,0,5.1,0,0,2.1,1.6,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,"The 100 kg steel ingot was prepared using a high-frequency vacuum induction furnace. The ingot was then forged into billets of dimensions ~100 mm × 100 mm. Schematic diagram of rolling and heat treatment process of the experimental steel is shown in Fig. 1 . The billets were hot-rolled to 12 mm steel plates via seven passes, after homogenization at 1200 °C for 2 h. The finish rolling temperature was greater than 1030 °C. Subsequently, the plates were directly quenched to room temperature (RT) and designated as sample DQ (directly quenched). The intercritical annealing process was carried out at 600  °C and the annealing time was 1.5 h."
10.1016/j.msea.2020.140636,Improved strength-ductility-toughness balance of a precipitation-strengthened low-carbon medium-Mn steel by adopting intercritical annealing-tempering process,"The present study on low-carbon medium-Mn steel demonstrates that the newly proposed intercritical annealing-tempering process led to good combination of strength, ductility and impact toughness, by simultaneously optimizing austenite reverted transformation and Cu precipitation. Intercritical annealing at high temperature accelerated the dissolution of cementite particles, promoted the formation of reverted austenite, and then increased the total elongation and impact energy. The additional tempering at 500 degrees C facilitated intensive precipitation of Cu-rich precipitates in secondary martensite. The precipitates were fine, uniform in size and high in density, which provided a significant strengthening effect. Strengthening by nano-scale Cu-rich precipitates compensated softening associated with high temperature annealing, and increased the yield strength of tempered medium-Mn steel by 75 MPa. In addition to facilitating Cu precipitation, the introduction of secondary martensite also promoted nucleation of reverted austenite during tempering with sufficient C and Mn concentration that stabilized austenite and further improved ductility. Excellent mechanical properties, 960 MPa yield strength, 1010 MPa tensile strength, 29.2% total elongation and 150 J impact energy at room temperature were obtained in the precipitation-strengthened low-carbon medium-Mn steel, on intercritical annealing at 645 degrees C, followed by tempering at 500 degrees C for 2 h.","Mechanical properties of samples DQ, DQT, DQA and DQAT.",DQA615,Tensile strength/MPa,1020,MPa,Yield strength/MPa,1000,MPa,Total elongation/%,24.2,%,0,0.0025,0.06,0.0015,0,0,0,0,0.56,0.36,0,0,0,0,0,0.002,0,5.1,0,0,2.1,1.6,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,"The 100 kg steel ingot was prepared using a high-frequency vacuum induction furnace. The ingot was then forged into billets of dimensions ~100 mm × 100 mm. Schematic diagram of rolling and heat treatment process of the experimental steel is shown in Fig. 1 . The billets were hot-rolled to 12 mm steel plates via seven passes, after homogenization at 1200 °C for 2 h. The finish rolling temperature was greater than 1030 °C. Subsequently, the plates were directly quenched to room temperature (RT) and designated as sample DQ (directly quenched). The intercritical annealing process was carried out at 615 °C and the annealing time was 1.5 h."
